marca,modelo,ventas,precio,motor,CV,pisada,ancho,largo,peso_neto,deposito,mpg
Chevrolet,Cavalier,145.519,13.26,2.2,115,104.1,67.9,180.9,2.676,14.3,27
Chevrolet,Malibu,135.126,16.535,3.1,170,107,69.4,190.4,3.051,15,25
Chevrolet,Impala,107.995,18.89,3.4,180,110.5,73,200,3.389,17,27
Ford,Mustang,113.369,21.56,3.8,190,101.3,73.1,183.2,3.203,15.7,24
Ford,Taurus,245.815,17.885,3,155,108.5,73,197.6,3.368,16,24
Ford,Focus,175.67,12.315,2,107,103,66.9,174.8,2.564,13.2,30
Honda,Civic,199.685,12.885,1.6,106,103.2,67.1,175.1,2.339,11.9,32
Honda,Accord,230.902,15.35,2.3,135,106.9,70.3,188.8,2.932,17.1,27
Pontiac,Grand Am,131.097,19.72,3.4,175,107,70.4,186.3,3.091,15.2,25
Toyota,Corolla,142.535,13.108,1.8,120,97,66.7,174,2.42,13.2,33
Toyota,Camry,247.994,17.518,2.2,133,105.2,70.1,188.5,2.998,18.5,27
